id_activity;title;authors;source;publication_date;pmid;impact_factor;clinic;pdc;colab_inter;colab_intra_crti;id_choice
14;The autoimmune concept of multiplesclerosis;Nicol B, Salou M, Laplaud DA, Wekerle H;Presse Med;01/01/15;25813101;1.167;false;true;true;false;2
15;Multiple sclerosis: From new concepts to updates on management;Laplaud DA;Presse Med;01/01/15;25823830;1.167;true;true;false;false;2
16;Understanding Lung Immunopathology Caused by the Human Metapneumovirus:Implications for Rational Vaccine Design;Palavecino CE, Cespedes PF, Lay MK, Riedel CA, Kalergis AM, Bueno SM;Crit Rev Immunol;01/01/15;26559227;1.191;false;true;true;false;1
17;Pregnancy-related thrombotic microangiopathies: Clues fromcomplement biology;Fakhouri F;Transfus Apher Sci;01/01/16;27158062;1.412;true;true;false;false;3
18;Study of the impacts of patient-educators on the course of basic sciences in dental studies;Renard E, Alliot-Licht B, Gross O, Roger-Leroi V, Marchand C;Eur J Dent Educ;01/01/15;24628743;1.531;false;true;false;false;1
19;Transplant nephrectomy after graft failure: is it so risky? Impact on morbidity, mortality and alloimmunization;Chowaniec Y, Luyckx F, Karam G, Glemain P, Dantal J, Rigaud J, Branchereau J;Int Urol Nephrol;01/01/18;30120679;1.596;true;true;false;true;1
20;"Living-donor kidney transplantation:
comparison of sequential and simultaneous surgical organizations";"Prudhomme T, Benoit T, Mittal S, Roumiguié M, Mesnard B, Broudeur L, Kervella 
D, Sallusto F, Doumerc N, Binhazzaa M, Iborra F, Soulié M, Blancho G, Kamar N,
Thuret R, Karam G, Gamé X, Branchereau J";Int Urol Nephrol;01/01/20;31894558;1.596;true;true;true;false;1
21;"Inflammatory optic neuropathy in granulomatosis with polyangiitis
can mimick isolated idiopathic optic neuritis";"Clément M, Néel A, Toulgoat F, Weber M, Godmer P, Hutin P, Hamidou M,
Lebranchu P";Eur J Ophthalmol;01/01/19;31744325;1.716;true;false;false;true;1
22;Immediate Loading of Two Unsplinted Implants in Edentulous Patients with Mandibular Overdentures: A 10-year Retrospective Review of Patients from a Previously Conducted 1-year Cohort Study;Rignon-Bret C, Wulfman C, Hadida A, Renouard F, Gourraud PA, Naveau A. ;INT J ORAL MAX IMPL;01/01/19;30695092;1.734;true;false;false;false;1
23;"Can we extrapolate from a Cmah (-/-) 
Ldlr (-/-) mouse model a susceptibility for atherosclerosis in humans?";Soulillou JP, Cozzi E, Galli C, Bach JM.;P NATL ACAD SCI USA;01/01/20;31964838;1.803;false;true;true;false;3
24;A pilot study comparing corifollitropin alfa associated with hp-HMG versus highdose rFSH antagonist protocols for ovarian stimulation in poor responders;Mendret-Pellerin S, Leperlier F, Reignier A, Lefebvre T, Barrière P, Freour T;HUM FERTIL;01/01/18;30129813;1.803;true;true;false;false;1
25;"Should
artificial shrinkage be performed prior to blastocyst vitrification? A systematic
review of the literature and meta-analysis. ";Boyard J, Reignier A, Chtourou S, Lefebvre T, Barrière P, Fréour T.;Hum FertIL;01/01/20;31973647;1.803;false;true;false;false;2
26;Embryo development, fetal growthand postnatal phenotype of eGFP lambs generated by lentiviral transgenesis;Crispo M, Vilariño M, dos Santos-Neto PC, Núñez-Olivera R, Cuadro F, Barrera N, Mulet AP, Nguyen TH, Anegón I, Menchaca A;Transgenic Res;01/01/15;25048992;1.817;false;false;true;false;1
27;Transgenic animals and genetic engineering techniques Nantes, France, 2-3 July, 2015;Ménoret S, Tesson L, Remy S, Usal C, Ouisse LH, Brusselle L, Chenouard V,Nguyen TH, David L, Anegon I;Transgenic Res;01/01/15;26358113;1.817;false;true;false;false;3
28;Advances in transgenic animal models and techniques;Ménoret S, Tesson L, Remy S, Usal C, Ouisse LH, Brusselle L, Chenouard V, Anegon I;Transgenic Res;01/01/17;28780744;1.817;false;true;false;false;2
29;Automated and manual sperm analysis: united we stand, divided wefall;Freour T;ANDROLOGIA;01/01/15;26234376;1.84;true;true;false;false;3
30;Sperm cryopreservation and assisted reproductive technology outcome in patients with spinal cord injury;Reignier A, Lammers J, Splingart C, Redhead D, Labat JJ, Mirallié S, Barrière P, Freour T;Andrologia;01/01/17;28718894;1.84;true;true;false;false;1
31;An R(2) -curve for evaluating the accuracyof dynamic predictions;Fournier MC, Dantan E, Blanche P;Stat Med;01/01/17;29205452;1.847;false;true;false;false;1
32;Inverse probability weighting tocontrol confounding in an illness-death model for interval-censored data;Gillaizeau F, Sénage T, Le Borgne F, Le Tourneau T, Roussel JC, Leffondrè K,Porcher R, Giraudeau B, Dantan E, Foucher Y;Stat Med;01/01/18;29205409;1.847;false;true;true;false;1
33;Comparisons of the performance of different statistical tests for time-to-event analysis withconfounding factors: practical illustrations in kidney transplantation;Le Borgne F, Giraudeau B, Querard AH, Giral M, Foucher Y;Stat Med;01/01/15;26514380;1.847;false;true;false;false;1
34;[Extra-oral signs to look for in patients exhibiting oral warningsigns of genetic diseases];Alliot-Licht B, Lusson C, Hyon I, Dajean-Trutaud S, Le Caignec C,Lopez-Cazaux S;CR BIOL;01/01/15;25528675;1.867;true;true;false;false;1
35;"IgG? light and heavy chain
amyloidosis secondary to a B-cell lymphoproliferative disorder, whole picture on 
a renal biopsy";Ville S, Kandel C, Delaunay J, Cantarovich D;Nephrology;01/01/19;31726478;1.913;true;true;false;false;1
36;PREventing Delayed GraftFunction by Driving Immunosuppressive InduCtion Treatment (PREDICT-DGF): studyprotocol for a randomized controlled trial;Chapal M, Foucher Y, Marguerite M, Neau K, Papuchon E, Daguin P, Morélon E,Mourad G, Cassuto E, Ladrière M, Legendre C, Giral M;Trials;01/01/15;26099226;1.975;false;true;false;false;1
37;Association between early ?hCG kinetics, blastocyst morphology and pregnancyoutcome in a single-blastocyst transfer program;Girard JM, Simorre M, Leperlier F, Reignier A, Lefebvre T, Barriere P, Freour T;EUR J OBSTET GYN R B;01/01/18;29734084;2.024;false;true;false;false;1
38;"The EKiTE network
(epidemiology in kidney transplantation - a European validated database): an
initiative epidemiological and translational European collaborative research";"Lorent M, Foucher Y, Kerleau K, Brouard S, Baayen C, Lebouter S, Naesens M,
Bestard Matamoros O, Åsberg A, Giral M; EKiTE consortium";BMC Nephrol;01/01/19;"
31601177";2.088;false;true;true;false;1
39;Prospective, multicenter, controlledstudy of quality of life, psychological adjustment process and medical outcomesof patients receiving a preemptive kidney transplant compared to a similarpopulation of recipients after a dialysis period of less than three years--ThePreKit-QoL study protocol;Sébille V, Hardouin JB, Giral M, Bonnaud-Antignac A, Tessier P, Papuchon E,Jobert A, Faurel-Paul E, Gentile S, Cassuto E, Morélon E, Rostaing L, Glotz D,Sberro-Soussan R, Foucher Y, Meurette A;BMC Nephrol;01/01/16;26785745;2.088;false;true;false;false;1
40;A personalized follow-up of kidney transplant recipients using video conferencingbased on a 1-year scoring system predictive of long term graft failure (TELEGRAFTstudy): protocol for a randomized controlled trial;Foucher Y, Meurette A, Daguin P, Bonnaud-Antignac A, Hardouin JB, Chailan S, Neau K, Papuchon E, Gaboriau S, Legendre C, Morélon E, Tessier P, Giral M;BMC Nephrol;01/01/15;25631635;2.088;false;true;false;false;1
41;"Chronic kidney disease and HIV in
the era of antiretroviral treatment: findings from a 10-year cohort study in a
west African setting";"Kaboré NF, Poda A, Zoungrana J, Da O, Ciaffi L, Semdé A, Yaméogo I, Sawadogo
AB, Delaporte E, Meda N, Limou S, Cournil A";BMC Nephrol;01/01/19;31064340;2.088;false;false;true;false;1
42;Subclinical Saccadic Eye Movement Dysfunction in Pediatric Multiple Sclerosis;Yousef A, Devereux M, Gourraud PA, Jonzzon S, Suleiman L, Waubant E, Green A, Graves JS;J Child Neurol;01/01/18;30463467;2.092;true;false;true;false;1
43;Is therean association between PAWP/WBP2NL sequence, expression, and distribution insperm cells and fertilization failures in ICSI cycles?;Freour T, Barragan M, Torra-Massana M, Ferrer-Vaquer A, Vassena R;Mol Reprod Dev;01/01/17;29271520;2.124;true;true;true;false;1
44;Hypothermic pulsatile perfusion of human pancreas: Preliminarytechnical feasibility study based on histology;Branchereau J, Renaudin K, Kervella D, Bernadet S, Karam G, Blancho G,Cantarovich D;Cryobiology;01/01/18;30292812;2.141;false;true;false;true;1
45;Targeted clinical audits immediately following the establishment of clinicalpractice guidelines for multiple sclerosis in 17 neurology departments: Apragmatic and collaborative study;Lairy G, Zephir H, Ouallet JC, Le Page E, Laplaud D, Bensa C, De Seze J;REV NEUROL-FRANCE;01/01/15;25912471;2.177;true;false;false;false;2
46;Can we discontinue disease-modifying treatments in multiplesclerosis patients? Yes;Laplaud D;REV NEUROL-FRANCE;01/01/17;27955826;2.177;true;true;false;false;3
47;Is the Choosing Wisely(®) campaign model applicable to the management of multiplesclerosis in France? A GRESEP pilot study;Trumbic B, Zéphir H, Ouallet JC, Le Page E, Laplaud D, Bensa C, de Sèze J;REV NEUROL-FRANCE;01/01/17;29128151;2.177;true;false;false;false;3
48;B cells in operationaltolerance;Chesneau M, Danger R, Soulillou JP, Brouard S;Hum Immunol;01/01/18;29458071;2.202;false;true;false;false;2
49;Expression of MHC classI-related molecules MICA, HLA-E and EPCR shape endothelial cells with uniquefunctions in innate and adaptive immunity;Gavlovsky PJ, Tonnerre P, Guitton C, Charreau B;Hum Immunol;01/01/16;26916837;2.202;false;true;false;false;1
50;Pathogenesis ofnon-HLA antibodies in solid organ transplantation: Where do we stand?;Delville M, Charreau B, Rabant M, Legendre C, Anglicheau D;Hum Immunol;01/01/16;27237040;2.202;false;false;false;false;1
51;Sialylation of antibodies in kidney recipients withde novo donor specific antibody, with or without antibody mediated rejection;Malard-Castagnet S, Dugast E, Degauque N, Pallier A, Soulillou JP, Cesbron A, Giral M, Harb J, Brouard S;Hum Immunol;01/01/16;26546874;2.202;false;true;false;false;1
52;Multidimensional reduction of multicentric cohort heterogeneity: An alternativemethod to increase statistical power and robustness;Le Gall C, Laurent J, Vince N, Lizee A, Agrawal A, Walencik A, Rettman P,Gagne K, Retiere C, Hollenbach J, Cesbron A, Limou S, Gourraud PA;Hum Immunol;01/01/16;27262455;2.202;false;true;true;false;1
53;The TRANSPLANTEX initiative;Bahram S, Carapito R, Gourraud PA, Charron D;Hum Immunol;01/01/16;27881245;2.202;false;false;false;false;3
54;Genetic screening of male patients with primaryhypogammaglobulinemia can guide diagnosis and clinical management;"Vince N, Mouillot G, Malphettes M, Limou S, Boutboul D, Guignet A, Bertrand V,Pellet P, Gourraud PA, Debré P, Oksenhendler E, Théodorou I, Fieschi C; DEFIStudy Group";Hum Immunol;01/01/18;29709555;2.202;true;true;false;false;1
55;Preface Genes don't care;Anegon I, Nguyen TH;Curr Gene Ther;01/01/15;25632944;2.218;false;true;false;false;3
56;CFTRinactivation by lentiviral vector-mediated RNA interference and CRISPR-Cas9genome editing in human airway epithelial cells;Bellec J, Bacchetta M, Losa D, Anegon I, Chanson M, Nguyen TH;Curr Gene Ther;01/01/15;26264708;2.218;false;true;false;false;1
57;"""My Life Needs Editing"" (Mort Sahl) and Genome EditingNeeds Ethics";Anegon I, Nguyen TH;Curr Gene Ther;01/01/16;26844694;2.218;false;true;false;false;3
58;"Benign Prostatic Hyperplasia Endoscopic Surgical Procedures in
Kidney Transplant Recipients: A Comparison Between Holmium Laser Enucleation of
the Prostate, GreenLight Photoselective Vaporization of the Prostate, and
Transurethral Resection of the Prostate.";"Prudhomme T, Marquette T, Péré M, Patard PM, Michiels C, Sallusto F, Rigaud J,
Glémain P, Kamar N, Blancho G, Soulié M, Rischmann P, Karam G, Gamé X, Robert G, 
Branchereau J.";J Endourol;01/01/18;31588793;2.267;true;true;false;false;1
59;New insights andcurrent tools for genetically engineered (GE) sheep and goats;Menchaca A, Anegon I, Whitelaw CB, Baldassarre H, Crispo M;Theriogenology;01/01/16;27155732;2.299;false;false;true;false;3
60;Antigen-specific single Bcell sorting and expression-cloning from immunoglobulin humanized rats: a rapidand versatile method for the generation of high affinity and discriminative humanmonoclonal antibodies;Ouisse LH, Gautreau-Rolland L, Devilder MC, Osborn M, Moyon M, Visentin J,Halary F, Bruggemann M, Buelow R, Anegon I, Saulquin X;BMC Biotechnol;01/01/17;28081707;2.303;false;true;false;true;1
61;Rapid and reliable diagnosisof Wilson disease using X-ray fluorescence;Kaš?áková S, Kewish CM, Rouzière S, Schmitt F, Sobesky R, Poupon J, Sandt C, Francou B, Somogyi A, Samuel D, Jacquemin E, Dubart-Kupperschmitt A, Nguyen TH,Bazin D, Duclos-Vallée JC, Guettier C, Le Naour F;J CLIN PATHOL;01/01/16;27499926;2.346;true;false;false;false;1
62;Minimum information about tolerogenicantigen-presenting cells (MITAP): a first step towards reproducibility andstandardisation of cellular therapies;Lord P, Spiering R, Aguillon JC, Anderson AE, Appel S, Benitez-Ribas D, TenBrinke A, Broere F, Cools N, Cuturi MC, Diboll J, Geissler EK, Giannoukakis N,Gregori S, van Ham SM, Lattimer S, Marshall L, Harry RA, Hutchinson JA, IsaacsJD, Joosten I, van Kooten C, Lopez Diaz de Cerio A, Nikolic T, Oral HB,Sofronic-Milosavljevic L, Ritter T, Riquelme P, Thomson AW, Trucco M, Vives-Pi M,Martinez-Caceres EM, Hilkens CM;PeerJ;01/01/16;27635311;2.353;false;false;true;false;1
63;"Ex-situ
hypothermic perfusion of non-human primate pancreas: A feasibility study";"Prudhomme T, Renaudin K, Lo Faro L, Cantarovich D, Kervella D, Minault D,
Hervouet J, Le Bas-Bernardet S, Karam G, Blancho G, Branchereau J";ARTIF ORGANS;01/01/20;;2.379;false;true;true;true;1
64;Standardized and weighted time-dependent receiver operatingcharacteristic curves to evaluate the intrinsic prognostic capacities of a markerby taking into account confounding factors;Le Borgne F, Combescure C, Gillaizeau F, Giral M, Chapal M, Giraudeau B,Foucher Y;Stat Methods Med Res;01/01/17;28633603;2.388;false;true;false;false;1
65;Optimal threshold estimatorof a prognostic marker by maximizing a time-dependent expected utility functionfor a patient-centered stratified medicine;Dantan E, Foucher Y, Lorent M, Giral M, Tessier P;Stat Methods Med Res;01/01/16;28937334;2.388;false;true;false;false;1
66;A multistate additive relativesurvival semi-Markov model;Gillaizeau F, Dantan E, Giral M, Foucher Y;Stat Methods Med Res;01/01/17;26056059;2.388;false;true;false;false;1
67;Clinical contribution of myositis-related antibodies detected byimmunoblot to idiopathic inflammatory myositis: A one-year retrospective study;Lecouffe-Desprets M, Hémont C, Néel A, Toquet C, Masseau A, Hamidou M, Josien R, Martin JC;Autoimmunity;01/01/18;29463118;2.403;false;true;false;true;1
68;Comparison of longitudinal quality of life outcomes in preemptive and dialyzed patients on waiting list for kidney transplantation;Auneau-Enjalbert L, Hardouin J-B, Blanchin M, Giral M, Morelon E, Cassuto E, Meurette A, Sébille V. ;Qual Life Res;01/01/19;31784856;2.488;true;false;true;false;1
69;A quick and robust MHC typing method forfree-ranging and captive primate species;de Groot N, Stanbury K, de Vos-Rouweler AJ, de Groot NG, Poirier N, Blancho G,de Luna C, Doxiadis GG, Bontrop RE;Immunogenetics;01/01/17;28084496;2.492;false;false;true;false;1
70;MHC class I diversity of olive baboons (Papio anubis)unravelled by next-generation sequencing;van der Wiel MKH, Doxiadis GGM, de Groot N, Otting N, de Groot NG, Poirier N, Blancho G, Bontrop RE;Immunogenetics;01/01/18;29478145;2.492;false;false;true;false;1
71;"Genetic overlap between autoimmune diseases
and non-Hodgkin lymphoma subtypes";"Din L, Sheikh M, Kosaraju N, Smedby KE, Bernatsky S, Berndt SI, Skibola CF,
Nieters A, Wang S, McKay JD, Cocco P, Maynadié M, Foretová L, Staines A, Mack TM,
de Sanjosé S, Vyse TJ, Padyukov L, Monnereau A, Arslan AA, Moore A, Brooks-Wilson
AR, Novak AJ, Glimelius B, Birmann BM, Link BK, Stewart C, Vajdic CM, Haioun C,
Magnani C, Conti DV, Cox DG, Casabonne D, Albanes D, Kane E, Roman E, Muzi G,
Salles G, Giles GG, Adami HO, Ghesquières H, De Vivo I, Clavel J, Cerhan JR,
Spinelli JJ, Hofmann J, Vijai J, Curtin K, Costenbader KH, Onel K, Offit K, Teras
LR, Morton L, Conde L, Miligi L, Melbye M, Ennas MG, Liebow M, Purdue MP, Glenn
M, Southey MC, Din M, Rothman N, Camp NJ, Wong Doo N, Becker N, Pradhan N, Bracci
PM, Boffetta P, Vineis P, Brennan P, Kraft P, Lan Q, Severson RK, Vermeulen RCH, 
Milne RL, Kaaks R, Travis RC, Weinstein SJ, Chanock SJ, Ansell SM, Slager SL,
Zheng T, Zhang Y, Benavente Y, Taub Z, Madireddy L, Gourraud PA, Oksenberg JR,
Cozen W, Hjalgrim H, Khankhanian P";Genet Epidemiol;01/01/19;31407831;2.5;false;false;true;false;1
72;Modulating the function of the immune system by thyroidhormones and thyrotropin;Jara EL, Muñoz-Durango N, Llanos C, Fardella C, González PA, Bueno SM,Kalergis AM, Riedel CA;Immunol Lett;01/01/17;28216261;2.552;false;false;true;false;1
73;The killerimmunoglobulin-like receptor KIR3DL1 in combination with HLA-Bw4 is protectiveagainst multiple sclerosis in African Americans;Hollenbach JA, Pando MJ, Caillier SJ, Gourraud PA, Oksenberg JR;Genes Immun;01/01/16;26866467;2.631;false;false;true;false;1
74;Anew protoparvovirus in human fecal samples and cutaneous T cell lymphomas(mycosis fungoides);Phan TG, Dreno B, da Costa AC, Li L, Orlandi P, Deng X, Kapusinszky B,Siqueira J, Knol AC, Halary F, Dantal J, Alexander KA, Pesavento PA, Delwart E;Virology;01/01/16;27393975;2.657;false;false;true;true;1
75;New insights about excisable pathogenicityislands in Salmonella and their contribution to virulence;Nieto PA, Pardo-Roa C, Salazar-Echegarai FJ, Tobar HE, Coronado-Arrázola I,Riedel CA, Kalergis AM, Bueno SM;Microbes Infect;01/01/16;26939722;2.669;false;true;true;false;1
76;Contribution of autophagy to antiviral immunity;Rey-Jurado E, Riedel CA, González PA, Bueno SM, Kalergis AM;FEBS Lett;01/01/15;26297829;2.675;false;true;true;false;1
77;"Predictive medicine in multiple sclerosis: A systematic
review";"Havas J, Leray E, Rollot F, Casey R, Michel L, Lejeune F, Wiertlewski S,
Laplaud D, Foucher Y";MULT SCLER RELAT DIS;01/01/20;32004856;2.725;false;true;false;false;2
78;"Feasibility and safety of laparoscopic living donor nephrectomy in
case of right kidney and multiple-renal artery kidney: a systematic review of the
literature";"Broudeur L, Karam G, Chelghaf I, De Vergie S, Rigaud J, Perrouin Verbe MA,
Branchereau J";World J Urol;01/01/19;31129713;2.761;true;true;false;false;1
79;Mortality Prediction after the First Year of Kidney Transplantation: An Observational Study on Two European Cohorts;Lorent M, Giral M, Pascual M, Koller MT, Steiger J, Trébern-Launay K, LegendreC, Kreis H, Mourad G, Garrigue V, Rostaing L, Kamar N, Kessler M, Ladrière M,Morelon E, Buron F, Golshayan D, Foucher Y;PLoS One;01/01/16;27152510;2.776;false;true;true;false;1
80;Anti-EBOVGP IgGs Lacking ?1-3-Galactose and Neu5Gc Prolong Survival and Decrease BloodViral Load in EBOV-Infected Guinea Pigs;Reynard O, Jacquot F, Evanno G, Mai HL, Salama A, Martinet B, Duvaux O, Bach JM, Conchon S, Judor JP, Perota A, Lagutina I, Duchi R, Lazzari G, Le Berre L,Perreault H, Lheriteau E, Raoul H, Volchkov V, Galli C, Soulillou JP;PLoS One;01/01/16;27280712;2.776;false;true;true;false;1
81;PrenylatedPolyphenols from Clusiaceae and Calophyllaceae with Immunomodulatory Activity on Endothelial Cells;Rouger C, Pagie S, Derbré S, Le Ray AM, Richomme P, Charreau B;PLoS One;01/01/16;27907087;2.776;false;true;false;false;1
82;Sequential Targeting of CD52 and TNF Allows Early Minimization Therapy in Kidney Transplantation: From a Biomarker to Targeting in a Proof-Of-Concept Trial;Viklicky O, Hruba P, Tomiuk S, Schmitz S, Gerstmayer B, Sawitzki B, Miqueu P, Mrazova P, Tycova I, Svobodova E, Honsova E, Janssen U, Volk HD, Reinke P;PLoS One;01/01/17;28085915;2.776;false;false;true;false;1
83;Bone marrow cell extract promotes the regeneration of irradiatedbone;Michel G, Blery P, Henoux M, Guicheux J, Weiss P, Brouard S, Malard O,Espitalier F;PLoS One;01/01/17;28542343;2.776;false;false;false;false;1
84;Fibrinogen-like protein2/fibroleukin induces long-term allograft survival in a rat model throughregulatory B cells;Bézie S, Picarda E, Tesson L, Renaudin K, Durand J, Ménoret S, Mérieau E,Chiffoleau E, Guillonneau C, Caron L, Anegon I;PLoS One;01/01/15;25763980;2.776;false;true;false;true;1
85;Biomarkers of IgAvasculitis nephritis in children;"Pillebout E, Jamin A, Ayari H, Housset P, Pierre M, Sauvaget V, Viglietti D,Deschenes G, Monteiro RC, Berthelot L; HSPrognosis group";PLoS One;01/01/17;29190714;2.776;false;true;false;false;1
86;Characterization of brain dystrophins absence and impact in dystrophin-deficient Dmdmdx rat model.;"Caudal D, François V, Lafoux A, Ledevin M, Anegon I, Le Guiner C, Larcher T,
Huchet C";PLoS One;01/01/20;32160266;2.776;false;false;false;false;1
87;Combining ?-Radioimmunotherapy and Adoptive T Cell Therapy toPotentiate Tumor Destruction;Ménager J, Gorin JB, Maurel C, Drujont L, Gouard S, Louvet C, Chérel M,Faivre-Chauvet A, Morgenstern A, Bruchertseifer F, Davodeau F, Gaschet J,Guilloux Y;PLoS One;01/01/15;26098691;2.776;false;false;false;false;1
88;Efficient Generation ofMyostatin Knock-Out Sheep Using CRISPR/Cas9 Technology and Microinjection intoZygotes;Crispo M, Mulet AP, Tesson L, Barrera N, Cuadro F, dos Santos-Neto PC, Nguyen TH, Crénéguy A, Brusselle L, Anegón I, Menchaca A;PLoS One;01/01/15;26305800;2.776;false;false;true;false;1
89;AnNS5A single optimized method to determine genotype, subtype and resistanceprofiles of Hepatitis C strains;Andre-Garnier E, Besse B, Rodallec A, Ribeyrol O, Ferre V, Luco C, Le Guen L,Bourgeois N, Gournay J, Billaud E, Raffi F, Coste-Burel M, Imbert-Marcille BM;PLoS One;01/01/17;28727784;2.776;false;true;false;false;1
90;Highly conserved extendedhaplotypes of the major histocompatibility complex and their relationship tomultiple sclerosis susceptibility;Goodin DS, Khankhanian P, Gourraud PA, Vince N;PLoS One;01/01/18;29438392;2.776;false;true;true;false;1
91;Multiplex CRISPR/Cas9system impairs HCMV replication by excising an essential viral gene;Gergen J, Coulon F, Creneguy A, Elain-Duret N, Gutierrez A, Pinkenburg O,Verhoeyen E, Anegon I, Nguyen TH, Halary FA, Haspot F;PLoS One;01/01/18;29447206;2.776;false;true;false;true;1
92;Quantitative and qualitative changes in anti-Neu5Gc antibodyresponse following rabbit anti-thymocyte IgG induction in kidney allograftrecipients;Rousse J, Salama A, Leviatan Ben-Arye S, Hruba P, Slatinska J, Evanno G,Duvaux O, Blanchard D, Yu H, Chen X, Bach JM, Padler-Karavani V, Viklicky O,Soulillou JP;Eur J Clin Invest;01/01/19;30620396;2.784;false;true;true;false;1
93;Receptor activating NF-?B ligand (RANKL) is a constitutiveintracellular protein in resting human basophils and is strongly induced on theirsurface by interleukin 3;Poli C, Martin JC, Braudeau C, Bériou G, Hemont C, Charrier C, Guérin S,Heslan M, Josien R;Immunobiology;01/01/15;25433635;2.798;false;true;false;false;1
94;An international consensus approach to the management ofatypical hemolytic uremic syndrome in children;"Loirat C, Fakhouri F, Ariceta G, Besbas N, Bitzan M, Bjerre A, Coppo R, Emma F, Johnson S, Karpman D, Landau D, Langman CB, Lapeyraque AL, Licht C, Nester C, Pecoraro C, Riedl M, van de Kar NC, Van de Walle J, Vivarelli M, Frémeaux-Bacchi V; HUS International";Pediatr Nephrol;01/01/16;25859752;2.816;true;false;true;false;1
95;Translational implications of endothelial cell dysfunction inassociation with chronic allograft rejection;Bruneau S, Wedel J, Fakhouri F, Nakayama H, Boneschansker L, Irimia D, DalyKP, Briscoe DM;Pediatr Nephrol;01/01/16;25903640;2.816;false;true;true;false;2
96;Does sperm origin affect embryo morphokinetic parameters?;Lammers J, Reignier A, Splingart C, Catteau A, David L, Barriere P, Freour T;J ASSIST REPROD GEN;01/01/15;26109332;2.82;false;true;false;false;1
97;PLC? sequence, protein levels, and distribution in human sperm do not correlate with semencharacteristics and fertilization rates after ICSI;Ferrer-Vaquer A, Barragan M, Freour T, Vernaeve V, Vassena R;J ASSIST REPROD GEN;01/01/16;27138933;2.82;true;false;true;false;1
98;WBP2NL/PAWPmRNA and protein expression in sperm cells are not related to semen parameters,fertilization rate, or reproductive outcome;Freour T, Barragan M, Ferrer-Vaquer A, Rodríguez A, Vassena R;J ASSIST REPROD GEN;01/01/17;28444612;2.82;true;true;true;false;1
