id_activity;year;id_type_com;id_choice_meeting;titleoral_com_poster;authors;meeting_name;date;location
21;2017;2;1;HLA and asthma in the Consortium on Asthma among African-ancestry Populations in the Americas (CAAPA);Vince N, Daya M, Hollenbach J, Lizée A, Pino-Yanes M, Salzberg S, Kim D, Beaty T, Taub M, Ruczinski I, Mathias R, Rafaels N, CAAPA, Barnes K, Torgerson D, Gourraud PA;EFI 2017;May 30 - June 2;Mannheim, Germany
22;2017;2;1;Easy-HLA: a package of applications to reveal the full details of HLA typing;Walencik A, Geffard E, Vince N, Garnier F, Cesbron A, Gourraud PA;EFI 2017;May 30 - June 2;Mannheim, Germany
23;2019;2;2;Navigating the treacherous waters of HLA imputation with the SHLARC (SNP-HLA Reference Consortium);Douillard V, Vince N, Limou S, Gourraud PA;IPW 2019;October 27-30;New Orleans, LA, USA
24;2019;2;2;Navigating the treacherous waters of HLA imputation with the SHLARC (SNP-HLA Reference Consortium);Vince N, Douillard V, Limou S, Gourraud PA;ASHG 2019;October 15-19;Houston, TX, USA
25;2019;1;2;Exome sequencing in Hereditary Hypophosphatemic Rickets with Hypercalciuria;Gaisne R, Figueres L, Houillier P, Vargas-Poussou R, Lemoine S, Leman C, Vince N, Gourraud PA, Limou S;JOBIM 2019;July 2-5;Nantes, France
26;2019;1;2;Genetic determinants of intracranial aneurism in autosomal dominant polycystic kidney disease;Leman C, Gaisne R, Durand A, Karakachoff M, Bourcier R, Figueres L, Vince N, Redon R, Desal H, Gourraud PA, Hourmant M, Limou S;JOBIM 2019;July 2-5;Nantes, France
27;2019;1;2;Exploring relationship between to neuro-inflammatory diseases;Regue H, Vince N, Gourraud PA, Laplaud D;JOBIM 2019;July 2-5;Nantes, France
28;2019;1;2;Burrowing functional and immunogenetic information through the 1000 Genomes Project with Ferret v3;Ba R, Vince N, Geffard E, Malguid D, Lanza M, Gourraud PA, Limou S;JOBIM 2019;July 2-5;Nantes, France
29;2019;1;2;The SIRP gene family: widespread conservation in animals, haplotypic polymorphisms in humans and its therapeutic consequences for monoclonal antibody reactivity;Guimon R, Haspot F, Poirier N, Blancho G, Limou S, Gourraud PA, Vince N;JOBIM 2019;July 2-5;Nantes, France
30;2019;1;2;Epigenome-wide association study reveals immunogenetic targets of DNA methylation modification by HIV-1;Garnier A, Vince N, Nelson G, Binns-Roemer E, David V, Hoang K, Gourraud PA, Goedert JJ, Winkler C, Limou S;JOBIM 2019;July 2-5;Nantes, France
31;2019;1;2;Navigating the treacherous waters of HLA imputation with the SHLARC (SNP-HLA Reference Consortium);Douillard V, Vince N, Limou S, Gourraud PA;JOBIM 2019;July 2-5;Nantes, France
32;2019;1;2;Statistical inference of immunogenetic parameters reveals an HLA allele associated with pediatric Focal Segmental Glomerulosclerosis;Durand A, Winkler C, Vince N, Douillard V, Geffard E, Ng D, Gourraud PA, Warady B, Furth S, Kopp JB, Kaskel FJ, Limou S;JOBIM 2019;July 2-5;Nantes, France
33;2019;1;2;De-centralized database: new challenges to design innovative contextualization algorithms;Durand A, Geffard E, Ba R, Limou S, Brouard S, Loupy A, Vince N, Gourraud PA;JOBIM 2019;July 2-5;Nantes, France
34;2019;1;2;Pioneer data-driven methods generating synthetic data: the HLA “avatars” are shifting paradigms in data sharing;Geffard E, Goronflot T, Limou S, Vince N, Wargny M, Gourraud PA;JOBIM 2019;July 2-5;Nantes, France
35;2019;1;2;Development of a complete HLA analysis pipeline: HLA-Functional Immunogenomic eXploration (HLA-FIX);Ianniello A, Geffard E, Douillard V, Limou S, Gourraud PA, Vince N;JOBIM 2019;July 2-5;Nantes, France
36;2019;1;2;Development and validation of an alloscore in kidney transplantation;Lecerf-Defer A, Mesnard L, Gourraud PA, Limou S, Vince N;JOBIM 2019;July 2-5;Nantes, France
37;2019;2;2;De-centralized database: new challenges to design innovative contextualization algorithms;Geffard E, Durand A, Ba R, Limou S, Brouard S, Loupy A, Vince N, Gourraud PA;EFI 2019;May 8-11;Lisbon, Portugal
38;2019;2;2;Pioneer data-driven methods generating synthetic data: the HLA “avatars” are shifting paradigms in data sharing;Geffard E, Goronflot T, Limou S, Vince N, Wargny M, Gourraud PA;EFI 2019;May 8-11;Lisbon, Portugal
39;2019;2;2;Statistical inference of immunogenetic parameters reveals an HLA allele associated with pediatric Focal Segmental Glomerulosclerosis;Durand A, Winkler C, Vince N, Douillard V, Geffard E, Ng D, Gourraud PA, Warady B, Furth S, Kopp JB, Kaskel FJ, Limou S;EFI 2019;May 8-11;Lisbon, Portugal
40;2018;1;2;SNP-HLA Reference Consortium: HLA and SNP data sharing for promoting HLA-centric analyses in genomics;Vince N, Douillard V, Geffard E, Limou S, Gourraud PA;DHU2020 2018;October 18-19;Nantes, France
41;2018;1;2;A precision medicine application: personalized contextualization of patients after solid organ transplantation;Geffard E, Scherdel P, Limou S, Brouard S, Tissot A, Magnan A, Giral M, Blancho G, Vince N, Gourraud PA;DHU2020 2018;October 18-19;Nantes, France
42;2018;2;2;SNP-HLA Reference Consortium: HLA and SNP data sharing for promoting HLA-centric analyses in genomics;Vince N, Douillard V, Geffard E, Limou S, Gourraud PA;EFI 2018;May 9-12;Venice, Italy
43;2018;2;2;A precision medicine application: personalized contextualization of patients after solid organ transplantation;Geffard E, Scherdel P, Limou S, Brouard S, Tissot A, COLT investigators, DIVAT investigators, Magnan A, Giral M, Blancho G, Vince N, Gourraud PA;EFI 2018;May 9-12;Venice, Italy
44;2018;2;2;Application of Easy-HLA to 2,260 solid organ transplant donor-recipient pairs from 2 cohorts: statistically upgraded HLA typing for research use;Geffard E, Walencik A, Limou S, Scherdel P, Tissot A, DIVAT investigators, COLT investigators, Blancho G, Giral M, Magnan A, Cesbron A, Vince N, Gourraud PA;EFI 2018;May 9-12;Venice, Italy
45;2018;2;2;EasyMatch-R: the validation of a web application for donor query in Hematopoietic Stem Cell Transplantation (HSCT);Walencik A, Geffard E, Limou S, Cesbron A, Vince N, Gourraud PA;EFI 2018;May 9-12;Venice, Italy
46;2018;1;2;Harnessing the power of functional immunogenomics parameters to discover new associations with diseases;Vince N, Geffard E, Douillard V, Limou S, Gourraud PA;Labex Igo 2018;April 17-18;Nantes, France
47;2018;1;2;EasyMatch-R: a web application to facilitate donor query in Hematopoietic Stem Cell Transplantation (HSCT);Geffard E, Walencik A, Limou S, Cesbron A, Vince N, Gourraud PA;Labex Igo 2018;April 17-18;Nantes, France
48;2018;1;2;Epigenome-wide association study (EWAS) with HIV infection status;Garnier A, Hoang K, Nelson G, Vince N, Gourraud PA, Winkler C, Limou S;Labex Igo 2018;April 17-18;Nantes, France
49;2018;1;2;Ferret, a user-friendly Java tool to extract data from the 1000 Genomes Project;Ba R, Taverner A, Vince N, Gourraud PA, Winkler C, Servieres M, Limou S;Labex Igo 2018;April 17-18;Nantes, France
50;2018;1;2;HLA-DRB1*09:01 is associated with a severity outcome of asthma in the Consortium on Asthma among African-ancestry Populations in the Americas (CAAPA);Vince N, Limou S, Daya M, Rafaels N, Hollenbach J, Lizee A, Geffard E, Walencik A, Pino-Yanes M, Salzberg S, Kim D, Watson H, Lange L, Wilson J, Beaty T, Taub M, Ruczinski I, Mathias R, CAAPA, Barnes KC, Torgerson D, Gourraud PA;Assises de génétique humaine et médicale 2018;January 24-26;Nantes, France
51;2018;1;2;Easy-HLA : logiciel en ligne d’haplotypage HLA accessible à tous délivrant un panel complet destiné aux analyses génétiques;Geffard E, Walencik A, Limou S, Garnier F, Cesbron A, Vince N, Gourraud PA;Assises de génétique humaine et médicale 2018;January 24-26;Nantes, France
52;2018;1;2;Ferret, a user-friendly Java tool to extract data from the 1000 Genomes Project;Taverner A, Belkacem O, Lam E, Vince N, Gourraud PA, Winkler C, Limou S;Assises de génétique humaine et médicale 2018;January 24-26;Nantes, France
53;2017;2;2;SNP-HLA Reference Consortium: HLA and SNP data sharing for promoting HLA centric analyses in genomics;Vince N, Walencik A, Geffard E, Limou S, Cesbron A, Gourraud PA;ASHI 2017;September 11-15;San Francisco, CA, USA
54;2017;2;2;HLA component in the Consortium on Asthma among African-ancestry Populations in the Americas (CAAPA);Vince N, Daya M, Hollenbach J, Lizée A, CAAPA, Barnes K, Torgerson D, Gourraud PA;ASHI 2017;September 11-15;San Francisco, CA, USA
55;2017;2;2;The Kidney transplantation application (KiTapp): a visualization and contextualization tool in a kidney graft patients’ cohort;Hervé C, Vince N, Brouard S, Giral M, Blancho G, Gourraud PA;ASHI 2017;September 11-15;San Francisco, CA, USA
56;2017;2;2;Easy-HLA: a suite of software using haplotypes to handle HLA typing data;Walencik A, Vince N, Garnier F, Cesbron A, Gourraud PA;ASHI 2017;September 11-15;San Francisco, CA, USA
57;2017;2;2;SNP-HLA Reference Consortium: HLA and SNP data sharing for promoting HLA centric analyses in genomics;Vince N, Limou S, Walencik A, Cesbron A, Geffard E, Gourraud PA;EFI 2017;May 30 - June 2;Mannheim, Germany
58;2017;2;2;Ferret, a User-Friendly Tool to Extract Data from the 1000 Genomes Project;Limou S, Taverner A, Vince N, Gourraud PA, Winkler C;EFI 2017;May 30 - June 2;Mannheim, Germany
59;2017;2;2;The Kidney transplantation application (KiTapp): a visualization and contextualization tool in a kidney graft patients’ cohort;Hervé C, Vince N, Brouard S, Giral M, Limou S, Blancho G, Gourraud PA;EFI 2017;May 30 - June 2;Mannheim, Germany
60;2020;2;1;CLEC-1 suppress dendritic cell antigen presentation and is a novel myeloid immune checkpoint target for cancer immunotherapy.;"Drouin M*, Saenz J*, Evrard B, Gauttier V, Teppaz G, Lopez-Robles MD, Louvet C, Poirier N* and E Chiffoleau*.
*authors contribute equally to this work.
";AACR;April 24-29 2020 virtual meeting II;San Diego,CA, USA
61;2020;2;2;CLEC-1 is a novel myeloid immune checkpoint for cancer immunotherapy controlling damaged and tumor cells phagocytosis;"Gauttier V*, Drouin M*, Javier Saenz, Berangère Evrard, Mary C,, Teppaz G., Desalle A., Thépénier V., Wilhelm E , Poirier N*, Chiffoleau E*

*authors contribute equally to this work.
";AACR;April 24-29 2020 virtual meeting II;San Diego,CA, USA
62;2017;2;1;"The C type lectin-like receptor CLEC-1 suppresses DC-mediated Th17 responses.
";Lopez Robles MD, Pallier A, Huchet V, Le Texier L, Remy S, Braudeau C, Delbos L, Moreau A, Louvet C, Brosseau C, Royer PJ, Magnan A, Halary F, Josien R, Cuturi MCC, Anegon I and E Chiffoleau.;2nd NAT meeting/2nd NAT LabEx IGO joint meeting;June 1-2 2017;Nantes, France
63;2020;2;1;;Drouin M*, Saenz J*, Evrard B, Gauttier V, Teppaz G, Lopez-Robles MD, Louvet C, Poirier N* and E Chiffoleau*.;NAT/IGO meeting;Juin 2020 postponed Covid19;Nantes, France
64;2015;2;2;Superiority of in vitro-Generated MDSC over Mreg and TolDC in a Mouse Model of Skin Transplantation;Drujont L, Carretero-Iglesia L, Bouchet-Delbos L, Beriou G, Merieau E, Hill M, Delneste Y, Moreau A, Cuturi MC and Louvet C;FOCIS;2015 June 24-27;San Diego, CA, USA
65;2016;2;2;Intracellular Ion Channels in ILC3s;Lancien M;Second EMBO Conference on Innate Lymphoid Cells,;2016 Nov 30-Dec 2;Berlin, Germany
66;2019;1;2;Comparison of tolerogenic dendritic cells used in clinic with other in vitro-derived myeloid cells by epigenetic and transcriptomic analyses;Florian Berger, Eros Mari?n, Cynthia Fourgeux, Amandine Even, Laurence Bouchet-Delbos, Alice Molle?, Maria- Cristina Cuturi, Jeremie Poschmann and Aure?lie Moreau;JOBIM;July 2-5 2019;Nantes, France
67;2019;1;2;Reprogramming of CD4+ T cells and monocytes in traumatized patients;Alice MOLLE*, Cynthia FOURGEUX, Tanguy CHAUMETTE, Jeremie POSCHMANN and Antoine ROQUILLY;JOBIM;July 2-5 2019;Nantes, France
68;2019;1;2;Epigenetic mechanisms involved in transplant rejection;Alice MOLLE*, Cynthia FOURGEUX, Maria-Dolores LOPEZ ROBLES, Virginie HUCHET, Claire USUAL, Emmanuel MERIEAU, Marion DROUIN, Bérangère EVRARD, Elise CHIFFOLEAU and Jeremie POSCHMANN;SFI;November 12-14 2019;Nantes, France
69;2019;1;2;Longitudinal analysis of immune cells in kidney transplantation rejection by single-cell RNA-seq;Thomas Laurent, Cynthia Fourgeux,  Jérémie Poschmann;JOBIM;July, 2-5 2019;Nantes, France
70;2019;1;1;Longitudinal analysis of immune cells in kidney transplantation rejection by single-cell RNA-seq;Thomas Laurent, Cynthia Fourgeux,  Jérémie Poschmann;SFI;November, 12-14 2019;Nantes, France
71;2019;1;2;Longitudinal analysis of immune cells in kidney transplantation rejection by single-cell RNA-seq;Thomas Laurent, Cynthia Fourgeux,  Jérémie Poschmann;SFI;November, 12-14 2019;Nantes, France
72;2019;1;1;Longitudinal analysis of immune cells in kidney transplantation rejection by single-cell RNA-seq;Thomas Laurent, Cynthia Fourgeux,  Jérémie Poschmann;Empowering Medical Research with Single-Cell RNA Sequencing;December, 12 2019;Nantes, France
73;2019;2;1;Human tolerogenic dendritic cells used in a phase I/II clinical trial regulate immune responses through lactate synthesis;Marin E, Delbos L, Renoult O, Giraud M, Daguin V, Pecqueur C, Cuturi MC and A. Moreau;FOCIS;2019 June 20;Boston, MA, USA
74;2017;2;1;Human tolerogenic dendritic cells regulate immune response through lactate synthesis and regulatory T cell induction;Marin E, Delbos L, Renoult O, Giraud M, Daguin V, Pecqueur C, Cuturi MC and A. Moreau;SFI;17-nov.;Reims, France
75;2016;2;1;Use of tolerogenic dendritic cells in organ transplantation in the context of the ONE Study clinical trial;Moreau A, Delbos L, Louvet C, Managh A, Bériou G, Daguin V, Vignard V, Sharp B, Vanhove B, Labarriere N and MC Cuturi;DC2016;16-oct.;Shangai, China
76;2019;2;1;Role of the intracellular ion channels TMEM176A and TMEM176B in the immune system;Lancien M, Bienvenu-Louvet G, Gueno L, Moreau A, Salle S, Merieau E, Bouchet-Delbos L, Coulon F, Boncompain G, Perez F, Cuturi MC, Louvet C.;FOCIS;2019 June 20;Boston, MA, USA
77;2016;2;1;Role of neutralizing antibodies in the control of BK polyomavirus reactivation in kidney transplant recipients;D. McILROY, C.PELTIER, A.TOUZE, A. RODALLEC, E.PRZYROWSKI, M. HOURMANT, C.BRESSOLLETTE;European Congress of Virology;19-22 October 2016;Hamburg, Germany
78;2016;1;1;La réponse neutralisante contre le polyomavirus BK chez les receveurs de greffe de rein;D. McILROY, C.PELTIER, A.TOUZE, A. RODALLEC, L. LE GUEN, E.PRZYROWSKI, M. HOURMANT, C.BRESSOLLETTE;9ème Journées Scientifiques de l’Association Francophone pour l’étude des Infections à Papillomavirus et Polyomavirus;28-30 September 2016;Loche, France
79;2019;1;1;Characterization of BK-specific monoclonal antibodies in kidney transplant recipients after BK reactivation;Nguyen N-K, Gautreau-Rolland L, Devilder MC, Rodallec A, Bressollette-Bodin C, Saulquin X, McIlroy D;12ème Journées Scientifiques de l’Association Francophone pour l’étude des Infections à Papillomavirus et Polyomavirus;2-4 October 2019;Frasne, France
80;2019;1;2;Characterization of BK-specific monoclonal antibodies in kidney transplant recipients after BK reactivation;Nguyen N-K, Gautreau-Rolland L, Devilder MC, Rodallec A, Bressollette-Bodin C, Saulquin X, McIlroy D;SFI 2019;12-14 November 2019;Nantes, France
81;2015;2;2;Are human myeloid dendritic cells hijacked by the BK polyomavirus ?;Sikorski M., Tang T., McIlroy D., Bressollette-Bodin C., Touzé A., Halary F.;CFCD;December 7-8th 2015;Paris, France
82;2015;2;2;Fine characterization of the DC-SIGN/HCMV gB interaction;Chéneau C., Landemarre L., Cancelleri P., Fieschi F., Porkolab V., Halary F.;CFCD;December 7-8th 2015;Paris, France
83;2015;2;2;Langerinhigh-expressing Langerhans-like cells can arise from CD14high CD16neg human blood monocytes;Picarda G., Chéneau C., Humbert J.-M., Bériou G., Pilet P., Duteille F., Perrot P., Bellier-Waast F., Bourdais L., Haspot-Degauque F., Bressollette-Bodin C., Guillon F., Halary F.;CFCD;December 7-8th 2015;Paris, France
84;2016;1;1;Are human myeloid dendritic cells hijacked by the BK polyomavirus ?;Sikorski M., McIlroy D., Bressollette-Bodin C., Coulon F., Touzé A., Halary F.;AFIPP;September 28-30, 2016;Loches, France
85;2016;2;1;Are human myeloid dendritic cells hijacked by the BK polyomavirus ?;Sikorski M., McIlroy D., Bressollette-Bodin C., Coulon F., Touzé A., Halary F.;ECV;22-oct.-16;Hambourg, Germany
86;2019;2;2;Human CD1c+ dendritic cells are refractory to BK polyomavirus but transmit it to human primary renal tubular epithelial cells and protect it from neutralization;Sikorski M., Coulon F., Peltier C., Braudeau C., Garcia A., Renaudin K., Kandel-Aznar C., Nedellec S., Hulin P., Branchereau J., Véziers J., Gaboriaud P., Touzé A., Burlaud-Gaillard J., Josien R., McIlroy D., Bressollette-Bodin C., Halary F.;SFI;November 12-14 2019;Nantes, France
87;2019;2;2;Human CD1c+ dendritic cells are refractory to BK polyomavirus but transmit it to human primary renal tubular epithelial cells and protect it from neutralization;Sikorski M., Coulon F., Peltier C., Braudeau C., Garcia A., Renaudin K., Kandel-Aznar C., Nedellec S., Hulin P., Branchereau J., Véziers J., Gaboriaud P., Touzé A., Burlaud-Gaillard J., Josien R., McIlroy D., Bressollette-Bodin C., Halary F.;EMDS;;Marseille, France
88;2020;2;2;Revisiting the BK polyomavirus attachment;Coulon F., Heslan J.-M., N’Guyen T. H., McIlroy D., Bressollette-Bodin C., Halary F.;;juin-20;Nantes, France
89;2015;2;2;Specific humoral and cellular response against the polyomavirus BK in the first months post renal transplantation. A prospective study.;Mazalrey S., McIlroy D., Braudeau C, Touze A, Hourmant M, Rodallec A, Rimbert M, Le Thuault A, Imbert-Marcille B.M, Josien R, Bressollette-Bodin C.;NAT;11-12 june 2015;Nantes
90;2016;2;2;BK polyomavirus infection activates the type I interferon response in human fibroblasts, and depends on the cGAS-STING pathway.;Bressollette-Bodin C., Chauveau L., Peltier C., Schwartz O.;ESCV;14th-17th september 2016;Lisbon
91;2017;1;1;Antiviral response in cells infected by BK polyomavirus.;Flageul A, Peltier C., Chauveau L, Schwartz O., Bressollette-Bodin C.;AFIPP;17-sept.;Lyon
92;2018;1;1;Dynamique de réplication des Torque Teno Virus dans une cohorte de patients cérébro-lésés.;Irimia A, Roquilly A, Coste-Burel M, Imbert-Marcille B.M, Bressollette-Bodin C;JNI;june, 2018;Nantes
93;2019;1;1;Réactivations herpétiques dans une cohorte de patients cérébro-lésés : un marqueur de mauvais pronostic.;Castain L, Roquilly A, Coste-Burel M, Imert-Marcille B.M, Bressollette-Bodin C;JNI;june, 2019;Lyon
94;2016;1;1;Interleukin-22-binding protein (IL-22BP) regulates IL-22 functions during gut homeostasis;Abidi A, Beriou G, Heslan M, Josien R, Martin J.;Annual Meeting of the French Society of Immunology 2016;28-30 nov 2016;Paris, France
95;2017;1;1;Therapeutic opportunity of IL-22BP blockade: strengthening of IL-22 signaling improves intestinal barrier function in CD mucosa;A Fantou, J Martin, A Jarry, G Bériou, A Bourreille, R Josien.;Annual Meeting of the French Society of Immunology 2017;6-9 noc 2017;Reims, France
96;2017;2;1;Interleukin-22-binding protein (IL-22BP) regulates il-22 functions during gut homeostasis;A Abidi, G. Bériou, M. Heslan, J. Martin, R. Marrakchi, R. Josien;10th FAIS-African Congress of Immunology;3-7 dec 2017;Hammamet, Tunisia
97;2016;1;2;TLR10 is expressed by CD141+ myeloid dendritic cells and acts a a proinflammatory receptor in response to Pam3cys challenge in rats;Beriou G, Braudeau C, Salabert-Le Guen N, Abidi A, Heslan M, Martin J, Josien R;Annual Meeting of the French Society of Immunology 2016;28-30 nov 2016;Paris, France
98;2016;1;2;Altered Treg function and selection following AIRE-deficiency, new insights on the role of AIRE;Ossart J, Menoret S, Autrusseau E, Moreau A, Martin J, Hubert FX, Anegon I, Josien R, Guillonneau C;Annual Meeting of the French Society of Immunology 2016;28-30 nov 2016;Paris, France
99;2016;1;2;Human blood basophils do not respond directly to TSLP and do not express IL-7Ra;Salabert-Le Guen N, Hemont C, Delbove A, Poli C, Braudeau C, Amouriaux K, Beriou G, Martin J, Colas L, Soumelis V, Josien R;Annual Meeting of the French Society of Immunology 2016;28-30 nov 2016;Paris, France
100;2017;2;2;Defective anti-microbial peptides expression in Crohn’s disease mucosa can be reversed by strengthening IL-22 signaling;A Fantou, J Martin, A Jarry, G Bériou, A Bourreille, R Josien;FOCIS European Advanced Course,;déc.-18;Berlin, Germany
101;2019;2;2;Type-2 innate lymphoid cells are dominant ILCs in the rat intestine;Abidi A, Beriou G, Bouchet-Delbos L, Louvet C, Triki-Marrakchi R, Martin J,  Josien R;17th International Congress of Immunology of the International-Union-of-Immunological-Societies (IUIS);19-23 oct 2019;Beijing, China
102;2015;2;1;IL-22BP is an important blocker of IL-22 pathogenicity during psoriasis;Martin JC, Beriou G, Sabat R, Dumoutier L, Renauld CJ, Josien R;9th European Workshop on Immune Mediated Inflammatory Diseases (EWIMID);2-4 sept 2015;Amsterdam, NL
103;2015;2;1;Human basophils do not respond to thymic stromal lymphopoietin;Hemont C, Amouriaux K, Delbove A, Braudeau C, Martin J, Josien R;9th European Workshop on Immune Mediated Inflammatory Diseases (EWIMID);2-4 sept 2015;Amsterdam, NL
104;2015;2;2;IL-22BP is produced by eosinophils in human gut and inhibits the protective actions of IL-22 during experimental colitis;Martin JC, Be?riou G, Heslan M, Bossard C, Jarry A, Hulin P, Me?noret S, Thinard R, Anegon I, Jacqueline C, Abidi A, Lardeux B, Renauld JC, Bourreille A, Josien R;15th International Congress of Mucosal Immunology;14-18 july 2015;Berlin, Germany
105;2020;2;2;Single-cell analysis of Crohn’s disease lesions identifies a pathogenic cellular module associated with resistance to anti-TNF therapy;Jerome Martin;Nextgen 2020;févr.-20;Weizman Institute
106;2016;1;2;Selective expression of estrogen/phenol sulfotransferase SULT1A1 in white matter astrocyte in rodent and human central nervous system.;Nicot AB, Courtemanche H, Garcia A, Miteva M, Laplaud DA.;20th Annual Meeting of the LARC-Neuroscience network;Nov 25 2016;Rennes, France
107;2016;1;1;Analysis of the regulatory T lymphocytes profile as predictive biomarker of the lung allograft chronic dysfunction;M.Durand, P.Lacoste, C.Brosseau, E.Durand, J.Loy, A.Magnan, S.Brouard & COLT Consortium.;12th International congress of lung transplantation;September 15-16 2016;Paris, France
